Continente;Nombre;Tendencia;Puntos;Variacion(%);Variacion puntos;Puntos Anterior;Hora;Fecha;Fecha descarga
Europa;FTSE MIB INDEX;Sube;22209.75;+0.90;+197.99;22011.76; ;27-03-2018;24-10-2018 10:12:30.913000
EEUU;DOW JONES;Baja;25191.43;-0.50;-125.98;25317.41; ;23-10-2018;24-10-2018 10:12:30.913000
EEUU;NASDAQ 100;Baja;7118.67;-0.32;-22.54;7141.21; ;23-10-2018;24-10-2018 10:12:30.913000
EEUU;S P 500;Baja;2740.69;-0.55;-15.19;2755.88; ;23-10-2018;24-10-2018 10:12:30.913000
EEUU;NASDAQ COMPOSITE;Baja;7437.54;-0.42;-31.09;7468.63; ;23-10-2018;24-10-2018 10:12:30.913000
Asia;NIKKEI 225;Sube;22091.18;+0.37;+80.40;22010.78;08:15;24-10-2018;24-10-2018 10:12:30.913000
LATINOAMERICA;IPC MEXICO;Baja;46449.03;-1.09;-513.71;47437.45; ;23-10-2018;24-10-2018 10:12:30.913000
LATINOAMERICA;Merval;Baja;28359.72;-0.73;-208.06;28673.28; ;23-10-2018;24-10-2018 10:12:30.913000
LATINOAMERICA;IPSA;Baja;3779.89;-0.16;-6.17;3784.88; ;23-10-2018;24-10-2018 10:12:30.913000
LATINOAMERICA;LIMA INDICE GENERAL;Baja;18708.69;-1.04;-197.06;18895.09; ;23-10-2018;24-10-2018 10:12:30.913000
LATINOAMERICA;IGBC;Baja;13762.88;-0.21;-29.61;13792.49; ;04-06-2018;24-10-2018 10:12:30.913000
Europa;IBEX 35;Sube;8746.50;+0.23;+20.40;8726.10;10:48;24-10-2018;24-10-2018 11:12:31.148000
Europa;BEL 20;Sube;3449.46;+0.35;+12.07;3437.39;10:49;24-10-2018;24-10-2018 11:12:31.148000
Europa;DAX;Baja;11267.42;-0.06;-6.86;11274.28;10:49;24-10-2018;24-10-2018 11:12:31.148000
Europa;CAC 40;Sube;4979.44;+0.24;+11.75;4967.69;10:49;24-10-2018;24-10-2018 11:12:31.148000
Europa;FTSE 100;Sube;6969.91;+0.21;+14.70;6955.21;10:49;24-10-2018;24-10-2018 11:12:31.148000
Europa;PSI 20;Sube;4950.40;+0.36;+17.85;4932.55;10:48;24-10-2018;24-10-2018 11:12:31.148000
Europa;EURO STOXX 50®;Sube;3149.96;+0.29;+9.02;3140.94;10:49;24-10-2018;24-10-2018 11:12:31.148000
Europa;ECO10;Baja;126.21;-0.10;-0.13;126.34;10:49;24-10-2018;24-10-2018 11:12:31.148000
Europa;FTSE MIB INDEX;Sube;22209.75;+0.90;+197.99;22011.76; ;27-03-2018;24-10-2018 11:12:31.148000
EEUU;DOW JONES;Baja;25191.43;-0.50;-125.98;25317.41; ;23-10-2018;24-10-2018 11:12:31.148000
EEUU;NASDAQ 100;Baja;7118.67;-0.32;-22.54;7141.21; ;23-10-2018;24-10-2018 11:12:31.148000
EEUU;S P 500;Baja;2740.69;-0.55;-15.19;2755.88; ;23-10-2018;24-10-2018 11:12:31.148000
EEUU;NASDAQ COMPOSITE;Baja;7437.54;-0.42;-31.09;7468.63; ;23-10-2018;24-10-2018 11:12:31.148000
Asia;NIKKEI 225;Sube;22091.18;+0.37;+80.40;22010.78;08:15;24-10-2018;24-10-2018 11:12:31.148000
LATINOAMERICA;IPC MEXICO;Baja;46449.03;-1.09;-513.71;47437.45; ;23-10-2018;24-10-2018 11:12:31.148000
LATINOAMERICA;Merval;Baja;28359.72;-0.73;-208.06;28673.28; ;23-10-2018;24-10-2018 11:12:31.148000
LATINOAMERICA;IPSA;Baja;3779.89;-0.16;-6.17;3784.88; ;23-10-2018;24-10-2018 11:12:31.148000
LATINOAMERICA;LIMA INDICE GENERAL;Baja;18708.69;-1.04;-197.06;18895.09; ;23-10-2018;24-10-2018 11:12:31.148000
LATINOAMERICA;IGBC;Baja;13762.88;-0.21;-29.61;13792.49; ;04-06-2018;24-10-2018 11:12:31.148000
Europa;IBEX 35;Sube;8756.80;+0.35;+30.70;8726.10;11:52;24-10-2018;24-10-2018 12:12:31.352000
Europa;BEL 20;Sube;3456.50;+0.56;+19.11;3437.39;11:53;24-10-2018;24-10-2018 12:12:31.352000
Europa;DAX;Sube;11318.94;+0.40;+44.66;11274.28;11:53;24-10-2018;24-10-2018 12:12:31.352000
Europa;CAC 40;Sube;5001.20;+0.67;+33.51;4967.69;11:53;24-10-2018;24-10-2018 12:12:31.352000
Europa;FTSE 100;Sube;6998.28;+0.62;+43.07;6955.21;11:53;24-10-2018;24-10-2018 12:12:31.352000
Europa;PSI 20;Sube;4954.07;+0.44;+21.52;4932.55;11:53;24-10-2018;24-10-2018 12:12:31.352000
Europa;EURO STOXX 50®;Sube;3163.92;+0.73;+22.98;3140.94;11:53;24-10-2018;24-10-2018 12:12:31.352000
Europa;ECO10;Baja;126.28;-0.05;-0.06;126.34;11:53;24-10-2018;24-10-2018 12:12:31.352000
Europa;FTSE MIB INDEX;Sube;22209.75;+0.90;+197.99;22011.76; ;27-03-2018;24-10-2018 12:12:31.352000
EEUU;DOW JONES;Baja;25191.43;-0.50;-125.98;25317.41; ;23-10-2018;24-10-2018 12:12:31.352000
EEUU;NASDAQ 100;Baja;7118.67;-0.32;-22.54;7141.21; ;23-10-2018;24-10-2018 12:12:31.352000
EEUU;S P 500;Baja;2740.69;-0.55;-15.19;2755.88; ;23-10-2018;24-10-2018 12:12:31.352000
